date,close,open,high,low,volume
25-Nov-2016,1150.17,1106.00,1153.62,1096.10,4280000
28-Nov-2016,1141.30,1147.00,1159.72,1125.95,1920000
29-Nov-2016,1129.92,1137.50,1146.00,1126.28,1440000
30-Nov-2016,1138.03,1132.50,1147.38,1121.15,3450000
1-Dec-2016,1131.72,1138.50,1145.00,1127.03,1120000
2-Dec-2016,1110.92,1129.00,1135.40,1102.60,2000000
5-Dec-2016,1093.00,1114.50,1118.92,1085.00,2250000
6-Dec-2016,1091.17,1095.00,1101.97,1084.95,1590000
7-Dec-2016,1077.28,1091.10,1092.22,1072.83,2070000
8-Dec-2016,1097.88,1080.25,1099.50,1080.00,3240000
9-Dec-2016,1097.62,1102.50,1109.95,1086.65,1590000
12-Dec-2016,1104.10,1097.40,1108.80,1081.50,1310000
13-Dec-2016,1100.15,1109.00,1109.00,1091.50,2150000
14-Dec-2016,1103.80,1107.00,1112.35,1094.50,1870000
15-Dec-2016,1129.65,1101.00,1136.05,1101.00,4300000
16-Dec-2016,1141.33,1138.50,1145.00,1126.00,1990000
19-Dec-2016,1144.45,1140.00,1148.85,1130.65,1330000
20-Dec-2016,1169.65,1146.00,1172.50,1143.53,2920000
21-Dec-2016,1156.80,1171.90,1171.90,1152.80,2030000
22-Dec-2016,1153.85,1153.00,1162.50,1143.10,1870000
23-Dec-2016,1144.05,1150.00,1158.88,1139.40,1120000
26-Dec-2016,1146.55,1133.00,1150.80,1133.00,897000000
27-Dec-2016,1161.70,1140.75,1165.00,1140.75,1290000
28-Dec-2016,1156.70,1163.35,1174.95,1151.58,1350000
29-Dec-2016,1175.85,1151.50,1179.95,1151.50,1960000
30-Dec-2016,1182.78,1177.45,1189.30,1172.83,1410000
2-Jan-2017,1180.67,1183.30,1187.55,1176.20,823000000
3-Jan-2017,1184.12,1180.62,1185.85,1171.65,1480000
4-Jan-2017,1189.75,1184.85,1194.42,1179.15,1420000
5-Jan-2017,1167.20,1192.00,1194.97,1160.20,2220000
6-Jan-2017,1140.70,1160.50,1164.67,1128.55,3010000
9-Jan-2017,1151.85,1137.50,1155.65,1128.50,1850000
10-Jan-2017,1157.67,1152.00,1164.90,1145.75,1530000
11-Jan-2017,1162.20,1157.50,1164.80,1140.10,1930000
12-Jan-2017,1172.17,1162.20,1180.00,1152.00,2570000
13-Jan-2017,1124.65,1174.00,1178.97,1118.92,10200000
16-Jan-2017,1129.28,1125.00,1136.95,1114.00,3360000
17-Jan-2017,1139.38,1127.45,1143.90,1126.40,3010000
18-Jan-2017,1147.55,1139.00,1149.00,1132.72,3140000
19-Jan-2017,1145.50,1147.50,1147.58,1141.47,2250000
20-Jan-2017,1142.67,1143.50,1150.00,1132.50,2040000
23-Jan-2017,1153.35,1132.50,1156.75,1129.90,2320000
24-Jan-2017,1159.17,1152.00,1161.50,1145.00,2280000
25-Jan-2017,1176.50,1161.30,1180.00,1159.03,4110000
27-Jan-2017,1178.90,1172.53,1189.38,1172.53,2870000
30-Jan-2017,1166.45,1170.50,1175.97,1159.08,2580000
31-Jan-2017,1114.90,1160.00,1166.03,1100.03,4670000
1-Feb-2017,1083.95,1110.00,1119.97,1077.78,4860000
2-Feb-2017,1103.83,1085.03,1109.50,1076.50,6010000
3-Feb-2017,1116.28,1104.85,1121.50,1095.50,2150000
